Governor ID,Governor Name, Power at start,Kill Score at start,Dead at start,Begining Power vs Last Scan,Begining Kills vs Last Scan,Begining Dead vs Last Scan,Power Pas 4 ,Difference Pass 4,Kill Score Pas 4, Difference Pas 4 ,Dead Pas 4, Difference Pas 4, Power Pass 5&6, Difference Pass 5&6,Kill Score Pass 5&6, Difference Pass 5&6,Unit Lost Pass 5&6, Difference Pass 5&6, Power Pass 7, Difference Pass 7,Kill Score Pass 7, Difference Pass 7,Unit Lost Pass 7, Difference Pass 7, Power Kingsland , Difference Kingsland ,Kill Score Kingsland, Difference Kingsland 7,Unit Lost Kingsland, Difference Kingsland 8, Power KVK End , Difference Power KVK End ,Kill Score Power KVK End, Difference Power KVK End 9,Unit Lost Power KVK End, Difference Power KVK End 10
40939667,RaptorBite,79658403 ,654167546 ,20095377 ,519916 ,0 ,0 ,80019219 ,360816 ,654167546 ,,20095377 ,0 ,80178319 ,159100 ,654167546 ,0 ,20095377 ,0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23886718,Rosèmàry705,74765474 ,299992281 ,10991285 ,947000 ,0 ,0 ,75566544 ,801070 ,299992281 ,,10991285 ,0 ,75712474 ,145930 ,299992281 ,0 ,10991285 ,0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46815562,Rendant Jr,74566290 ,139878886 ,4522738 ,1131533 ,0 ,0 ,75149060 ,582770 ,139878886 ,,4522738 ,0 ,75697823 ,548763 ,139878886 ,0 ,4522738 ,0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1665246,Jadis of Narnia,72890573 ,66656369 ,10348296 ,2993185 ,0 ,0 ,74415448 ,1524875 ,66656369 ,,10348296 ,0 ,75883758 ,1468310 ,66656369 ,0 ,10348296 ,0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15540748,alomᴮᴰ,72378177 ,651365015 ,13351662 ,2845700 ,0 ,0 ,73562177 ,1184000 ,651365015 ,,13351662 ,0 ,75223877 ,1661700 ,651365015 ,0 ,13351662 ,0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41068925,Karib1,66099799 ,59247432 ,10935275 ,2515353 ,0 ,0 ,67226299 ,1126500 ,59247432 ,,10935275 ,0 ,68615152 ,1388853 ,59247432 ,0 ,10935275 ,0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43001521,2AHMED1977,65258060 ,69716092 ,8166081 ,1075330 ,0 ,0 ,66040790 ,782730 ,69716092 ,,8166081 ,0 ,66333390 ,292600 ,69716092 ,0 ,8166081 ,0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41019532,skdjfhrbf,64825164 ,10554104 ,6670055 ,989048 ,0 ,0 ,65271174 ,446010 ,10554104 ,,6670055 ,0 ,65814212 ,543038 ,10554104 ,0 ,6670055 ,0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40832003,44 Farmer,64192500 ,85576277 ,698931 ,(16700),0 ,0 ,64263000 ,70500 ,85576277 ,,698931 ,0 ,64175800 ,(87200),85576277 ,0 ,698931 ,0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21332733,Armageddon Army,60603077 ,105735140 ,10965470 ,672930 ,0 ,0 ,60846477 ,243400 ,105735140 ,,10965470 ,0 ,61276007 ,429530 ,105735140 ,0 ,10965470 ,0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
