Governor ID,Governor Name, Power at start ,Kill Score at start,Dead at start,Begining Power vs Last Scan,Begining Kills vs Last Scan,Begining Dead vs Last Scan, Power Pas 4 ,Difference Pass 4,Kill Score Pas 4, Difference Pas 4 ,Dead Pas 4, Difference Pas 4 2, Power Pass 5&6, Difference Pass 5&6,Kill Score Pass 5&6, Difference Pass 5&6,Unit Lost Pass 5&6, Difference Pass 5&6, Power Pass 7, Difference Pass 7,Kill Score Pass 7, Difference Pass 7,Unit Lost Pass 7, Difference Pass 7, Power Kingsland , Difference Kingsland ,Kill Score Kingsland, Difference Kingsland 7,Unit Lost Kingsland, Difference Kingsland 8, Power KVK End , Difference Power KVK End ,Kill Score Power KVK End, Difference Power KVK End 9,Unit Lost Power KVK End, Difference Power KVK End 10
160654829,ŒCB,"40,475,072","99,468,838","2,160,540","393,469",0,0,"40,868,541","393,469","99,468,838",,"2,160,540",0,40868541,0,99468838,0,2160540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37393423,General ALPHA,"39,718,068","24,527,954","4,646,005",#N/A,#N/A,#N/A,"39,718,068",0,"24,527,954",,"4,646,005",0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62705356,Rafiki Jr,"39,493,825","29,456,949","3,021,937","331,172",0,0,"39,695,197","201,372","29,456,949",,"3,021,937",0,39824997,"129,800",29456949,0,3021937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46005845,RickGrimeS,"39,351,082","10,429,905","1,516,838","177,600",0,0,"39,456,482","105,400","10,429,905",,"1,516,838",0,39528682,"72,200",10429905,0,1516838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21872885,NitramX,"39,086,315","4,823,460","2,258,390","625,749",0,0,"39,289,271","202,956","4,823,460",,"2,258,390",0,39712064,"422,793",4823460,0,2258390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33508521,JohnWICK1,"37,526,009","4,809,781","1,686,961","400,068",0,0,"37,781,163","255,154","4,809,781",,"1,686,961",0,37926077,"144,914",4809781,0,1686961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67535192,Dame tu boca,"35,623,730","6,200,696","2,545,289","1,870,957","84,060",0,"36,307,574","683,844","6,200,696",,"2,545,289",0,37494687,"1,187,113",6284756,"84,060",2545289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28469676,Mini Clodo,"35,400,759","11,613,923","5,639,836","106,727",0,0,"35,424,086","23,327","11,613,923",,"5,639,836",0,35507486,"83,400",11613923,0,5639836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64043900,Lemi B Sweet,"35,288,316","2,655,723","2,017,051","804,805",0,0,"35,694,659","406,343","2,655,723",,"2,017,051",0,36093121,"398,462",2655723,0,2017051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41003447,Buddha is life,"31,564,506","11,188,838","6,343,158","277,113",0,0,"31,564,506",0,"11,188,838",,"6,343,158",0,31841619,"277,113",11188838,0,6343158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62362414,1Clark1,"31,448,215","4,573,613","2,160,377","730,470",0,0,"31,548,815","100,600","4,573,613",,"2,160,377",0,32178685,"629,870",4573613,0,2160377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37783566,WhiteTigger 1,"30,866,799","112,986,369","5,078,886","599,536",0,0,"31,162,071","295,272","112,986,369",,"5,078,886",0,31466335,"304,264",112986369,0,5078886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41377688,showmethemone,"30,846,572","9,060,381","182,706",0,0,0,"30,846,572",0,"9,060,381",,"182,706",0,30846572,0,9060381,0,182706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21292925,XBlurryFaceX,"30,084,781","31,079,123","2,367,022",#N/A,#N/A,#N/A,"30,084,781",0,"31,079,123",,"2,367,022",0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46936164,IamNegaN,"29,761,282","8,233,901","3,213,105","258,468",0,0,"29,926,600","165,318","8,233,901",,"3,213,105",0,30019750,"93,150",8233901,0,3213105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
